,number,value,datetime_start,datetime_complete,duration,params_activation_0,params_activation_1,params_activation_2,params_activation_3,params_activation_4,params_channels_0,params_channels_1,params_channels_2,params_channels_3,params_dilation_0,params_dilation_1,params_dilation_2,params_dilation_3,params_dilation_4,params_kernel_size_0,params_kernel_size_1,params_kernel_size_2,params_kernel_size_3,params_kernel_size_4,params_num_layers,params_poolsize_2,params_poolsize_3,params_poolsize_4,params_poolsize_5,state
90,90,3.864950901456177,2024-05-08 08:48:45.388530,2024-05-08 08:50:16.579159,0 days 00:01:31.190629,nn.Tanh,nn.SiLU,nn.Tanh,nn.SELU,,12,11.0,5.0,,3,2,3.0,3.0,,8,13,7.0,24.0,,4,,,"[5, 2, 2, 4]",,COMPLETE
91,91,1.6416968650883064,2024-05-08 08:50:16.598724,2024-05-08 08:51:58.710582,0 days 00:01:42.111858,nn.Softplus,nn.Softplus,nn.Tanh,,,6,4.0,,,1,1,3.0,,,21,23,4.0,,,3,,"[2, 20, 2]",,,COMPLETE
92,92,1.5315045380033552,2024-05-08 08:51:58.730768,2024-05-08 08:54:35.026619,0 days 00:02:36.295851,nn.SELU,nn.SiLU,nn.Softplus,nn.SiLU,,4,11.0,3.0,,2,2,2.0,2.0,,20,9,13.0,20.0,,4,,,"[2, 10, 2, 2]",,COMPLETE
93,93,2.261012763832696,2024-05-08 08:54:35.047037,2024-05-08 08:56:29.786995,0 days 00:01:54.739958,nn.SiLU,nn.Softplus,,,,2,,,,2,1,,,,23,12,,,,2,"[4, 20]",,,,COMPLETE
94,94,4.347068050503731,2024-05-08 08:56:29.806629,2024-05-08 08:57:10.070102,0 days 00:00:40.263473,nn.SiLU,nn.Softplus,,,,1,,,,2,1,,,,7,13,,,,2,"[4, 20]",,,,COMPLETE
95,95,3.014345986628905,2024-05-08 08:57:10.090964,2024-05-08 08:59:02.197601,0 days 00:01:52.106637,nn.SiLU,nn.Softplus,,,,2,,,,2,1,,,,23,6,,,,2,"[4, 20]",,,,COMPLETE
96,96,1.7078216969734057,2024-05-08 08:59:02.217068,2024-05-08 09:04:04.106502,0 days 00:05:01.889434,nn.SiLU,nn.Softplus,nn.Tanh,nn.Softplus,nn.SELU,9,9.0,7.0,10.0,2,1,3.0,1.0,2.0,22,10,20.0,21.0,21.0,5,,,,"[5, 2, 2, 2, 2]",COMPLETE
97,97,3.6513154863379897,2024-05-08 09:04:04.127243,2024-05-08 09:05:03.372106,0 days 00:00:59.244863,nn.Tanh,nn.Softplus,,,,2,,,,1,1,,,,24,14,,,,2,"[10, 8]",,,,COMPLETE
98,98,1.1709874449064954,2024-05-08 09:05:03.391001,2024-05-08 09:08:47.912820,0 days 00:03:44.521819,nn.SiLU,nn.Tanh,nn.SELU,nn.Tanh,,10,12.0,4.0,,2,2,1.0,2.0,,9,19,5.0,5.0,,4,,,"[2, 4, 2, 5]",,COMPLETE
99,99,0.7320889163762331,2024-05-08 09:08:47.933033,2024-05-08 09:10:30.714019,0 days 00:01:42.780986,nn.SELU,nn.SELU,nn.SiLU,,,8,10.0,,,1,3,3.0,,,22,11,18.0,,,3,,"[2, 20, 2]",,,COMPLETE
100,100,0.6209995714947582,2024-05-08 09:10:30.734400,2024-05-08 09:13:19.252266,0 days 00:02:48.517866,nn.Tanh,nn.SiLU,nn.Tanh,nn.SELU,nn.SiLU,11,9.0,3.0,8.0,1,2,2.0,2.0,1.0,10,17,6.0,9.0,12.0,5,,,,"[2, 2, 2, 2, 5]",COMPLETE
101,101,2.6263912838883696,2024-05-08 09:13:19.273103,2024-05-08 09:15:19.491218,0 days 00:02:00.218115,nn.Softplus,nn.Softplus,nn.Softplus,nn.SELU,,7,1.0,11.0,,2,3,3.0,3.0,,14,18,3.0,19.0,,4,,,"[4, 2, 5, 2]",,COMPLETE
102,102,0.9503798759542406,2024-05-08 09:15:19.511661,2024-05-08 09:17:58.412917,0 days 00:02:38.901256,nn.SiLU,nn.Softplus,nn.Tanh,,,11,8.0,,,1,2,2.0,,,21,15,16.0,,,3,,"[2, 4, 10]",,,COMPLETE
103,103,6.313922147825361,2024-05-08 09:17:58.432791,2024-05-08 09:18:42.612850,0 days 00:00:44.180059,nn.SELU,nn.Softplus,nn.SELU,,,3,9.0,,,1,2,3.0,,,2,12,6.0,,,3,,"[5, 8, 2]",,,COMPLETE
104,104,6.5441241160035135,2024-05-08 09:18:42.633271,2024-05-08 09:19:36.792817,0 days 00:00:54.159546,nn.SELU,nn.Softplus,nn.SELU,,,1,10.0,,,1,2,3.0,,,2,24,7.0,,,3,,"[5, 8, 2]",,,COMPLETE
105,105,4.560316340439021,2024-05-08 09:19:36.812296,2024-05-08 09:20:22.675042,0 days 00:00:45.862746,nn.SELU,nn.Softplus,nn.SELU,,,3,12.0,,,1,2,3.0,,,4,9,8.0,,,3,,"[4, 10, 2]",,,COMPLETE
106,106,1.11038757317001,2024-05-08 09:20:22.694900,2024-05-08 09:21:34.982745,0 days 00:01:12.287845,nn.SELU,nn.Softplus,nn.SELU,,,12,7.0,,,1,2,3.0,,,17,6,5.0,,,3,,"[5, 2, 8]",,,COMPLETE
107,107,2.3566881415899843,2024-05-08 09:21:35.003349,2024-05-08 09:22:36.850542,0 days 00:01:01.847193,nn.Tanh,nn.SiLU,nn.Softplus,,,8,8.0,,,1,2,3.0,,,14,10,9.0,,,3,,"[8, 5, 2]",,,COMPLETE
108,108,3.1968263059388846,2024-05-08 09:22:36.871308,2024-05-08 09:24:45.078865,0 days 00:02:08.207557,nn.SELU,nn.Softplus,nn.Tanh,nn.Softplus,,2,11.0,5.0,,2,2,3.0,1.0,,6,22,4.0,17.0,,4,,,"[2, 5, 4, 2]",,COMPLETE
109,109,2.793120867339894,2024-05-08 09:24:45.098624,2024-05-08 09:25:51.528428,0 days 00:01:06.429804,nn.Tanh,nn.SiLU,nn.SELU,nn.SELU,nn.SiLU,3,10.0,6.0,10.0,1,1,2.0,2.0,2.0,3,8,10.0,22.0,17.0,5,,,,"[2, 2, 2, 5, 2]",COMPLETE
110,110,3.2700632989406584,2024-05-08 09:25:51.551756,2024-05-08 09:27:13.213374,0 days 00:01:21.661618,nn.Softplus,nn.Softplus,nn.Tanh,,,4,9.0,,,1,2,3.0,,,8,23,8.0,,,3,,"[4, 4, 5]",,,COMPLETE
111,111,2.480255357734859,2024-05-08 09:27:13.233878,2024-05-08 09:30:48.152043,0 days 00:03:34.918165,nn.Tanh,nn.Softplus,nn.Softplus,nn.SiLU,,6,11.0,8.0,,3,2,3.0,2.0,,16,16,7.0,13.0,,4,,,"[2, 4, 5, 2]",,COMPLETE
112,112,3.9833410324528815,2024-05-08 09:30:48.172856,2024-05-08 09:31:37.296540,0 days 00:00:49.123684,nn.SELU,nn.Tanh,,,,9,,,,2,2,,,,3,13,,,,2,"[5, 16]",,,,COMPLETE
113,113,0.37275083622371313,2024-05-08 09:31:37.316487,2024-05-08 09:35:17.044531,0 days 00:03:39.728044,nn.SELU,nn.SiLU,nn.Softplus,,,12,10.0,,,1,2,3.0,,,11,20,5.0,,,3,,"[2, 20, 2]",,,COMPLETE
114,114,0.4104396552895196,2024-05-08 09:35:17.064999,2024-05-08 09:38:53.278703,0 days 00:03:36.213704,nn.SELU,nn.SiLU,nn.Softplus,,,12,10.0,,,1,2,3.0,,,11,20,2.0,,,3,,"[2, 20, 2]",,,COMPLETE
115,115,,2024-05-08 09:38:53.298166,,,nn.SELU,nn.SiLU,nn.Softplus,,,12,9.0,,,1,2,3.0,,,12,21,11.0,,,3,,"[2, 2, 20]",,,RUNNING
