epoch,step,train_loss,val_loss
0,0,0.6183353066444397,
0,1,0.43098604679107666,
0,2,0.3134191930294037,
0,3,0.3160059154033661,
0,4,0.28013813495635986,
0,5,0.28182050585746765,
0,6,0.2691631019115448,
0,7,0.26514312624931335,
0,8,0.2590785324573517,
0,9,0.2573593258857727,
0,10,0.24949519336223602,
0,11,0.2597127854824066,
0,12,0.25369226932525635,
0,13,0.2582102417945862,
0,14,0.25956764817237854,
0,15,0.30904480814933777,
0,16,0.24902090430259705,
0,17,0.24767115712165833,
0,18,0.26262834668159485,
0,19,0.24799029529094696,
0,20,0.25264352560043335,
0,21,0.2826288044452667,
0,22,0.25151994824409485,
0,23,0.24700424075126648,
0,24,0.2470015287399292,
0,25,0.28047695755958557,
0,26,0.24646121263504028,
0,27,0.25352171063423157,
0,28,0.27431806921958923,
0,29,0.2462744265794754,
0,30,0.26710623502731323,
0,30,,0.24059337377548218
1,31,0.24582161009311676,
1,32,0.26250699162483215,
1,33,0.24574249982833862,
1,34,0.24877183139324188,
1,35,0.24690648913383484,
1,36,0.2440740317106247,
1,37,0.248043492436409,
1,38,0.24444489181041718,
1,39,0.24453802406787872,
1,40,0.24493511021137238,
1,41,0.2464563548564911,
1,42,0.24703960120677948,
1,43,0.243362158536911,
1,44,0.24337586760520935,
1,45,0.24406388401985168,
1,46,0.2454986870288849,
1,47,0.24321554601192474,
1,48,0.24207748472690582,
1,49,0.24140678346157074,
1,50,0.23943346738815308,
1,51,0.24209453165531158,
1,52,0.24144257605075836,
1,53,0.2403421849012375,
1,54,0.2405398041009903,
1,55,0.24042542278766632,
1,56,0.2407243847846985,
1,57,0.2457665354013443,
1,58,0.24322275817394257,
1,59,0.2370084673166275,
1,60,0.24203547835350037,
1,61,0.2463008165359497,
1,61,,0.2415887862443924
2,62,0.2392652928829193,
2,63,0.2372720092535019,
2,64,0.24208402633666992,
2,65,0.23941101133823395,
2,66,0.23931585252285004,
2,67,0.2380208969116211,
2,68,0.24126078188419342,
2,69,0.23865464329719543,
2,70,0.2384250909090042,
2,71,0.23857559263706207,
2,72,0.2411348819732666,
2,73,0.23774656653404236,
2,74,0.23346389830112457,
2,75,0.238407164812088,
2,76,0.2353823333978653,
2,77,0.2368374764919281,
2,78,0.2394123673439026,
2,79,0.2317034900188446,
2,80,0.23398755490779877,
2,81,0.24227401614189148,
2,82,0.23513954877853394,
2,83,0.2387530356645584,
2,84,0.24276775121688843,
2,85,0.23557798564434052,
2,86,0.23778241872787476,
2,87,0.23933935165405273,
