epoch,step,train_kl_loss,train_loss,train_recon_loss,val_kl_loss,val_loss,val_recon_loss
0,0,5.852999687194824,8.017866134643555,0.01786697842180729,,,
0,1,5.347685813903809,8.049070358276367,0.04907012730836868,,,
0,2,6.012563705444336,8.015177726745605,0.015178187750279903,,,
0,3,6.250541687011719,8.0195894241333,0.019589828327298164,,,
0,4,6.200971603393555,8.019818305969238,0.019818201661109924,,,
0,5,6.4312744140625,8.015074729919434,0.015074809081852436,,,
0,6,6.041271686553955,8.012837409973145,0.012837727554142475,,,
0,7,4.946032524108887,8.04283618927002,0.04283582419157028,,,
0,7,,,,7.690018653869629,8.597947120666504,0.01468109991401434
1,8,6.552355766296387,8.015974998474121,0.015975380316376686,,,
1,9,6.797704696655273,8.022127151489258,0.02212710678577423,,,
1,10,6.135525703430176,8.015340805053711,0.015341106802225113,,,
1,11,5.6410112380981445,8.012643814086914,0.012643801048398018,,,
1,12,5.7592267990112305,8.013505935668945,0.013505968265235424,,,
1,13,6.49874210357666,8.01152229309082,0.011522535234689713,,,
1,14,6.101158142089844,8.01173210144043,0.011732088401913643,,,
1,15,4.967538833618164,8.060517311096191,0.06051735579967499,,,
1,15,,,,6.348819255828857,8.095672607421875,0.01196181308478117
2,16,6.296396732330322,8.009743690490723,0.009743786416947842,,,
2,17,6.7612199783325195,8.01319408416748,0.013194615021348,,,
2,18,6.288857460021973,8.00869369506836,0.008694520220160484,,,
2,19,5.926944732666016,8.008811950683594,0.008812394924461842,,,
2,20,6.692221164703369,8.00950813293457,0.009508626535534859,,,
2,21,7.019989013671875,8.009852409362793,0.009852292016148567,,,
2,22,6.852092742919922,8.013643264770508,0.013642405159771442,,,
2,23,4.567073345184326,8.050742149353027,0.05074255168437958,,,
2,23,,,,7.5852885246276855,8.429614067077637,0.009915574453771114
3,24,6.823694229125977,8.010300636291504,0.010300702415406704,,,
3,25,7.664689540863037,8.010961532592773,0.010961545631289482,,,
3,26,6.808777809143066,8.011645317077637,0.011645596474409103,,,
3,27,6.824708938598633,8.00887680053711,0.008876437321305275,,,
3,28,7.077083110809326,8.008338928222656,0.008338258601725101,,,
3,29,6.837066650390625,8.008917808532715,0.00891807023435831,,,
3,30,6.326352119445801,8.009429931640625,0.009429815225303173,,,
3,31,4.982583045959473,8.051939010620117,0.051939353346824646,,,
3,31,,,,7.160536766052246,8.287405014038086,0.008777923882007599
4,32,6.453636646270752,8.009900093078613,0.009900180622935295,,,
4,33,6.573726654052734,8.008058547973633,0.008058912120759487,,,
4,34,7.318849086761475,8.011011123657227,0.011011376976966858,,,
4,35,6.787308216094971,8.00970458984375,0.00970466434955597,,,
4,36,6.784456729888916,8.008413314819336,0.008413038216531277,,,
4,37,7.100785732269287,8.006772994995117,0.006772758439183235,,,
4,38,7.005805969238281,8.008720397949219,0.00872054137289524,,,
4,39,4.929496765136719,8.026382446289062,0.026383254677057266,,,
4,39,,,,7.658411502838135,8.416869163513184,0.008915839716792107
5,40,6.44248104095459,8.00766658782959,0.00766593124717474,,,
5,41,6.896719932556152,8.007307052612305,0.007307162508368492,,,
5,42,6.637485980987549,8.007545471191406,0.007545606233179569,,,
5,43,7.118114471435547,8.007534980773926,0.007534600794315338,,,
5,44,6.9800591468811035,8.00845718383789,0.008456884883344173,,,
5,45,6.7377753257751465,8.013952255249023,0.01395215280354023,,,
5,46,7.1093268394470215,8.006490707397461,0.006490467116236687,,,
5,47,4.727995872497559,8.03317928314209,0.033179160207509995,,,
5,47,,,,7.241152763366699,8.275484085083008,0.007066996768116951
6,48,6.6375885009765625,8.009734153747559,0.00973417516797781,,,
6,49,7.239768028259277,8.006900787353516,0.006901280023157597,,,
6,50,7.014639854431152,8.0073823928833,0.007382106967270374,,,
6,51,6.972066879272461,8.008116722106934,0.00811654794961214,,,
6,52,6.561733245849609,8.009653091430664,0.009652827866375446,,,
6,53,7.019977569580078,8.007862091064453,0.007861684076488018,,,
6,54,6.895554542541504,8.014091491699219,0.006265528034418821,,,
6,55,5.084550857543945,8.061580657958984,0.061581142246723175,,,
6,55,,,,8.605884552001953,8.933328628540039,0.009782890789210796
7,56,6.94189977645874,8.00572681427002,0.005726799368858337,,,
7,57,6.721836090087891,8.024581909179688,0.009164267219603062,,,
7,58,7.392559051513672,8.006863594055176,0.006863659713417292,,,
7,59,7.290644645690918,8.005317687988281,0.005317714065313339,,,
7,60,6.858075141906738,8.00711441040039,0.007114511448889971,,,
7,61,7.740997791290283,8.062012672424316,0.009974751621484756,,,
7,62,6.181253433227539,8.010732650756836,0.01073271594941616,,,
7,63,4.72021484375,8.058601379394531,0.05860065668821335,,,
7,63,,,,4.618673801422119,8.035021781921387,0.035021428018808365
8,64,4.675163745880127,8.025857925415039,0.025857795029878616,,,
